ISim log file
Running: /home/rcetin/workspace/ISE_workspace/brent32/brent32_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/rcetin/workspace/ISE_workspace/brent32/brent32_tb_isim_beh.wdb 
ISim P.20131013 (signature 0xfbc00daa)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 fs
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
                   0 << Starting the Simulation >>
Finished circuit initialization process.
time=0.000 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Cout=x

time=613.920 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0, Cout=x

time=1464.220 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00, Cout=x

time=1913.960 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= 0x0x0x0x0x0x0x0x0x0x0x0x0x0x0x00, Cout=x

time=2007.560 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= 0x0x0x0x0x0x0x0x0x0x0x0x0x0x0000, Cout=x

time=2457.300 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= 000x000x000x000x000x000x00000000, Cout=x

time=2907.040 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= 0000000x0000000x0000000000000000, Cout=x

time=3356.780 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= 00000000000000000000000000000000, Cout=x

time=3499.560 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= 00000000000000000000000000000000, Cout=0

time=50000.000 ps, A=11110001100111110000000000011111, B=00000001111001100000111011101100, Cin=0 : Sum= 00000000000000000000000000000000, Cout=0

time=50701.020 ps, A=11110001100111110000000000011111, B=00000001111001100000111011101100, Cin=0 : Sum= 11110000011110010000111011110011, Cout=0

time=51677.150 ps, A=11110001100111110000000000011111, B=00000001111001100000111011101100, Cin=0 : Sum= 11110000011100010000111011110011, Cout=0

time=51720.700 ps, A=11110001100111110000000000011111, B=00000001111001100000111011101100, Cin=0 : Sum= 11110010011100010000111011111011, Cout=0

time=52136.030 ps, A=11110001100111110000000000011111, B=00000001111001100000111011101100, Cin=0 : Sum= 11110010011100010000111011101011, Cout=0

time=52179.580 ps, A=11110001100111110000000000011111, B=00000001111001100000111011101100, Cin=0 : Sum= 11110010011101010000111011101011, Cout=0

time=53047.340 ps, A=11110001100111110000000000011111, B=00000001111001100000111011101100, Cin=0 : Sum= 11110010011001010000111010001011, Cout=0

time=53090.890 ps, A=11110001100111110000000000011111, B=00000001111001100000111011101100, Cin=0 : Sum= 11110010011001010000111110001011, Cout=0

time=53097.340 ps, A=11110001100111110000000000011111, B=00000001111001100000111011101100, Cin=0 : Sum= 11110011011001010000111110001011, Cout=0

time=53958.650 ps, A=11110001100111110000000000011111, B=00000001111001100000111011101100, Cin=0 : Sum= 11110011000001010000111100001011, Cout=0

time=54913.510 ps, A=11110001100111110000000000011111, B=00000001111001100000111011101100, Cin=0 : Sum= 11110011100001010000111100001011, Cout=0

# exit 0
