ISim log file
Running: /home/rcetin/workspace/ISE_workspace/kogge_stone_32/koggestone32_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/rcetin/workspace/ISE_workspace/kogge_stone_32/koggestone32_tb_isim_beh.wdb 
ISim P.20131013 (signature 0xfbc00daa)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 fs
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
                   0 << Starting the Simulation >>
Finished circuit initialization process.
time=0.000 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Cout=x

time=613.920 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0, Cout=x

time=1464.220 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00, Cout=x

time=2007.560 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= xxxxxxxxxxxxxxxxxxxxxxxxxxxxx000, Cout=x

time=2457.300 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= xxxxxxxxxxxxxxxxxxxxxxxxxxx00000, Cout=x

time=2907.040 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= xxxxxxxxxxxxxxxxxxxxxxx000000000, Cout=x

time=3356.780 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= xxxxxxxxxxxxxxx00000000000000000, Cout=x

time=3499.560 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= xxxxxxxxxxxxxxx00000000000000000, Cout=0

time=3806.520 ps, A=00000000000000000000000000000000, B=00000000000000000000000000000000, Cin=0 : Sum= 00000000000000000000000000000000, Cout=0

time=50000.000 ps, A=11111111111111111111111111111111, B=00000000000000000000000000000000, Cin=0 : Sum= 00000000000000000000000000000000, Cout=0

time=50701.020 ps, A=11111111111111111111111111111111, B=00000000000000000000000000000000, Cin=0 : Sum= 11111111111111111111111111111111, Cout=0

# exit 0
